stays_in_weekend_nights,stays_in_week_nights,lead_time,arrival_year,arrival_month,arrival_day,market_segment_type,avg_price_per_room,booking_status,email,booking_id
5,10,245,2016,9,12,Online,101.4,1,StephanieLopez26@xfinity.com,
0,4,397,2016,9,21,Offline,70.5,0,Holly.Wells40@aol.com,
2,0,16,2016,10,9,Groups,55.0,1,Christopher_Case@att.com,
2,3,184,2016,10,9,Online,126.4,1,MRhodes@verizon.com,
2,6,188,2016,10,26,Offline,37.2,1,Evans_Joseph@yandex.com,
2,5,181,2016,10,27,Online,55.25,1,Kevin_A23@mail.com,
2,5,96,2016,10,27,Online,66.02,1,Amanda.M@comcast.net,
0,1,1,2016,10,29,Online,71.0,1,Debra_Li@yandex.com,
2,4,86,2016,11,9,Online,37.8,1,Jeanette_Harrison@yandex.com,
0,4,50,2016,11,15,Direct,41.18,1,Martin_F@verizon.com,
0,1,1,2016,12,6,Offline,34.0,0,MGonzales@protonmail.com,
0,4,16,2016,12,7,Offline,96.0,1,RebeccaGarcia@mail.com,
2,3,57,2016,12,23,Online,56.0,1,BrettLee90@hotmail.com,
0,1,3,2016,9,29,Online,50.0,0,Jacqueline.W49@verizon.com,
0,1,0,2016,3,22,Online,53.0,0,Austin.Scott@yahoo.com,
2,5,244,2015,9,2,Groups,8.0,1,BJohnson@outlook.com,
2,5,267,2015,9,26,Offline,54.99,1,RogerWatkins@verizon.com,
0,2,72,2015,7,29,Online,134.0,0,Johnson_David53@comcast.net,
0,1,0,2015,8,6,Direct,191.0,0,ThomasBaker36@gmail.com,
2,5,157,2015,8,1,Online,134.0,0,Ramos_James89@aol.com,
2,5,65,2015,8,9,Offline,107.0,0,Alexander.Lisa@mail.com,
0,3,38,2015,8,13,Online,171.9,0,KatelynOwens34@zoho.com,
2,6,101,2015,8,22,Online,211.0,0,StephanieFreeman@verizon.com,
1,2,247,2015,10,9,Groups,81.0,1,CBenton@protonmail.com,
2,7,210,2015,8,26,Offline,87.75,0,EmilyBush@hotmail.com,
0,1,158,2015,9,8,Offline,68.5,0,DJohnson@verizon.com,
0,1,178,2015,9,12,Offline,61.65,0,JDeleon@gmail.com,
4,6,301,2015,9,12,Offline,98.6,0,Michael_L94@xfinity.com,
2,6,46,2015,9,30,Direct,43.78,0,Carpenter.Thomas64@zoho.com,
1,4,47,2015,10,19,Groups,76.8,0,Brown.Richard@gmail.com,
2,5,115,2015,10,22,Offline,73.43,0,Scott.Vargas@aol.com,
0,3,5,2015,10,27,Offline,31.2,0,French_Natasha@zoho.com,
0,1,0,2015,11,17,Corporate,35.0,0,Courtney.T@protonmail.com,
0,1,0,2015,12,3,Direct,48.0,0,Rhonda_Parsons82@mail.com,
1,2,3,2015,12,4,Direct,45.6,0,Alicia.Davis@att.com,
0,3,11,2015,12,29,Complementary,2.0,0,David.French@yahoo.com,
0,3,112,2015,12,30,Groups,245.33,0,Murphy.Elizabeth57@outlook.com,
0,1,2,2016,12,16,Offline,34.0,0,Daniel_Moran@comcast.net,
0,1,5,2016,1,26,Corporate,25.0,0,Travis_H@zoho.com,
0,2,10,2016,1,29,Online,74.0,0,THunt@mail.com,
0,1,0,2016,2,2,Direct,39.0,0,Mr.Robinson24@hotmail.com,
0,1,0,2016,2,3,Corporate,39.0,0,TaylorHubbard@gmail.com,
0,1,7,2016,2,4,Online,39.0,0,ALucero@hotmail.com,
1,1,22,2016,2,6,Direct,35.0,0,Williams_Courtney@zoho.com,
0,1,4,2016,2,16,Offline,25.0,0,Deborah_H73@hotmail.com,
1,2,28,2016,2,15,Online,48.0,0,Gregory.K@zoho.com,
1,2,24,2016,2,26,Online,48.0,0,Peters_Maria@gmail.com,
0,1,12,2016,4,13,Corporate,42.0,0,Steven.S@aol.com,
0,1,1,2016,3,16,Corporate,40.0,0,PennyLane@att.com,
0,0,1,2016,3,24,Direct,0.0,0,Craig_N@att.com,
2,3,12,2016,3,19,Offline,41.4,0,Jill_Nunez@xfinity.com,
2,2,14,2016,3,25,Online,94.5,0,Weaver_Glenn@outlook.com,
1,4,148,2016,3,30,Online,51.4,0,Colleen.F94@protonmail.com,
0,1,1,2016,4,14,Corporate,67.5,0,Jamie.Brown88@comcast.net,
0,4,24,2016,4,13,Online,71.0,0,Woodard_Nancy@hotmail.com,
0,2,0,2016,4,20,Direct,91.0,0,Sally.H@hotmail.com,
2,5,31,2016,4,16,Offline,41.4,0,Whitney.M@comcast.net,
1,0,106,2016,4,24,Online,52.2,0,JasminJoseph34@zoho.com,
2,5,13,2016,4,25,Corporate,85.0,0,Marie_M@zoho.com,
2,5,32,2016,4,19,Groups,69.36,0,Oneill.Brian@yandex.com,
3,5,172,2016,4,18,Offline,48.8,0,Brittany.P30@protonmail.com,
0,2,13,2016,4,29,Direct,131.0,0,Gray_Karen31@verizon.com,
0,2,9,2016,5,12,Groups,56.5,0,Watts.Kimberly@gmail.com,
0,4,24,2016,5,25,Direct,90.0,0,Mark.S@outlook.com,
1,4,137,2016,5,30,Online,106.38,0,Christopher_A@yandex.com,
2,5,170,2016,6,3,Direct,93.5,0,Jesus_Wood28@att.com,
0,2,7,2016,6,30,Online,144.0,0,VeronicaMD@comcast.net,
2,4,12,2016,6,5,Direct,202.67,0,Christopher_Carter62@verizon.com,
1,1,5,2016,6,13,Direct,168.6,0,Mario_C@yahoo.com,
0,5,165,2016,6,21,Online,84.0,0,CHawkins@hotmail.com,
1,2,18,2016,7,1,Online,129.0,0,MonicaRodgers@gmail.com,
2,6,224,2016,6,28,Online,80.63,0,Bradshaw.Pamela@yahoo.com,
1,2,17,2016,7,4,Direct,179.1,0,Dr..M@zoho.com,
0,3,45,2016,7,6,Online,204.0,0,Loretta_Foster@outlook.com,
1,1,3,2016,7,9,Online,198.5,0,Luke_Bennett@comcast.net,
2,7,122,2016,7,8,Online,162.22,0,Kenneth.Gregory@verizon.com,
2,5,234,2016,7,22,Direct,213.55,0,Silva_Jeffery37@outlook.com,
0,2,43,2016,7,29,Online,155.2,0,Andrew.Oconnell94@comcast.net,
2,5,156,2016,8,6,Direct,201.0,0,Brandon.M@aol.com,
2,1,4,2016,8,14,Online,208.8,0,Long_Rachel@hotmail.com,
0,1,2,2016,8,19,Corporate,160.0,0,JosephGonzalez@protonmail.com,
2,5,216,2016,8,14,Online,185.37,0,Brad_Hobbs@zoho.com,
2,5,162,2016,8,22,Online,308.57,0,Lauren.Snyder70@att.com,
2,5,247,2016,9,3,Online,81.0,0,PLarson@hotmail.com,
4,5,195,2016,9,4,Online,121.0,0,Nicole.D@comcast.net,
0,3,336,2016,9,15,Groups,66.0,0,Mathis_Donna@att.com,
0,2,3,2016,9,30,Online,115.0,0,Nichols_Jaime@xfinity.com,
0,1,69,2016,10,18,Groups,72.0,0,Cameron.C@hotmail.com,
1,3,5,2016,10,17,Corporate,67.5,0,Giles.Ashlee88@yandex.com,
1,3,10,2016,11,3,Online,61.5,0,DavidBaker37@outlook.com,
1,0,1,2016,11,21,Online,60.0,0,Jeffery.L87@att.com,
2,2,19,2016,11,27,Online,48.0,0,Joseph.Leach@aol.com,
1,3,28,2016,11,28,Online,65.0,0,GSchwartz79@gmail.com,
0,1,7,2016,12,13,Direct,45.0,0,Mills_Richard@outlook.com,
0,1,16,2016,12,16,Offline,42.0,0,Veronica_Walker@aol.com,
1,0,5,2016,12,18,Online,41.11,0,Victoria_Montgomery@xfinity.com,
1,2,39,2016,12,26,Online,60.0,0,Brown.Dana@xfinity.com,
3,8,154,2016,12,29,Online,47.54,0,Christopher.L@comcast.net,
2,1,68,2015,7,4,Online,68.0,1,Weaver.Matthew@yahoo.com,
0,1,132,2015,7,23,Groups,65.0,0,AnnFuller19@hotmail.com,
2,1,110,2015,7,25,Offline,94.5,1,Dr..P@zoho.com,
1,1,39,2015,8,10,Groups,62.0,1,Jacob_S@verizon.com,
2,2,5,2015,8,15,Online,99.75,1,Johnson_Matthew@mail.com,
2,3,8,2015,8,15,Direct,75.0,0,Jennifer.K@yahoo.com,
1,4,11,2015,8,17,Online,90.0,1,Taylor_Jennifer@outlook.com,
0,3,104,2015,8,18,Online,76.5,1,KennethWarren@protonmail.com,
1,1,53,2015,8,24,Groups,84.0,0,Wright_Katie@yandex.com,
1,3,5,2015,8,24,Online,90.0,0,THiggins@protonmail.com,
0,4,4,2015,8,25,Groups,60.0,0,Diane.Sanders@aol.com,
2,4,69,2015,9,4,Online,97.33,1,Robin_Castro47@xfinity.com,
1,1,65,2015,9,5,Groups,62.0,1,LawrenceTucker34@att.com,
1,5,18,2015,9,7,Online,143.0,1,Joseph.S58@verizon.com,
0,3,86,2015,9,9,Corporate,90.0,0,Gary.H@mail.com,
0,2,44,2015,9,10,Groups,126.0,1,Garcia.Jennifer@hotmail.com,
2,6,2,2015,9,10,Online,163.63,0,John_Lee@aol.com,
1,3,115,2015,9,10,Online,89.25,0,Cox_Mary@gmail.com,
0,2,168,2015,9,11,Groups,60.0,0,JohnMaldonado@yandex.com,
0,2,74,2015,9,18,Offline,109.0,0,Randall_A@mail.com,
1,1,60,2015,9,21,Offline,49.5,0,JSchmidt@comcast.net,
1,3,19,2015,9,21,Online,90.98,0,Laura.M@mail.com,
2,3,87,2015,9,25,Groups,170.0,1,DanielGibson@zoho.com,
2,2,88,2015,9,26,Groups,170.0,1,Juan_Downs@xfinity.com,
1,1,96,2015,9,28,Offline,138.0,1,LisaTurner46@xfinity.com,
0,1,83,2015,9,30,Offline,112.2,0,GBrown@att.com,
0,2,164,2015,10,2,Offline,100.0,0,Stewart_Bryan@zoho.com,
1,2,66,2015,10,9,Offline,65.0,0,EWilkins@comcast.net,
2,6,184,2015,10,17,Online,65.29,0,Meadows_Shannon@verizon.com,
1,1,50,2015,10,24,Groups,75.0,1,Tracy.Molina@yahoo.com,
0,1,61,2015,10,24,Online,80.75,0,Spencer.Jerry39@outlook.com,
2,2,99,2015,10,30,Offline,65.0,1,KelseyMurphy@verizon.com,
0,3,140,2015,11,18,Groups,75.0,0,Dustin.B@hotmail.com,
2,1,135,2015,12,5,Groups,0.0,0,Meyer.Robert82@yandex.com,
1,0,5,2015,12,20,Online,75.0,0,Rodriguez_Julie@verizon.com,
0,3,146,2015,12,29,Offline,75.0,0,Kristen.Murillo@comcast.net,
1,2,19,2016,1,1,Online,81.82,0,TheodoreSmith@outlook.com,
2,0,2,2016,1,3,Online,80.6,0,Sara_P@yahoo.com,
0,3,43,2016,1,14,Online,86.75,1,Christopher_A@yahoo.com,
0,2,11,2016,1,26,Online,70.07,1,PhD_Christopher@protonmail.com,
0,2,27,2016,1,29,Online,77.0,1,Jennifer_D@outlook.com,
1,2,7,2016,2,5,Online,79.0,1,John_Smith36@comcast.net,
0,2,77,2016,2,24,Groups,64.0,1,Miller.Cynthia24@hotmail.com,
1,1,37,2016,2,27,Online,69.3,1,Jennifer.S32@hotmail.com,
0,3,40,2016,3,1,Online,88.5,1,MeganPollard@aol.com,
2,3,31,2016,3,5,Online,119.1,1,Joshua.Singh@verizon.com,
0,4,62,2016,3,9,Online,63.75,1,Sarah.Brown85@xfinity.com,
2,4,83,2016,3,20,Online,61.41,0,Chad.Shaw@mail.com,
2,5,78,2016,3,20,Online,69.2,0,WalterPowell@comcast.net,
0,1,105,2016,4,6,Offline,75.0,1,Valerie.Rose@outlook.com,
0,1,9,2016,4,8,Online,89.0,1,Joyce_Malone75@mail.com,
0,2,11,2016,4,8,Direct,173.0,1,Farrell_Jacob@gmail.com,
0,2,26,2016,4,15,Online,115.0,1,Lawrence_Guzman58@xfinity.com,
0,4,270,2016,4,20,Offline,80.0,0,Lisa_D@yahoo.com,
0,4,265,2016,4,20,Groups,99.0,0,Erin_S@mail.com,
0,2,58,2016,4,22,Online,118.8,1,SAllison@mail.com,
1,2,56,2016,4,22,Online,118.8,1,Timothy_F63@att.com,
2,2,169,2016,4,22,Offline,106.0,1,Thomas.Christina@yahoo.com,
0,2,309,2016,5,12,Groups,62.0,1,MDuarte@mail.com,
2,3,276,2016,5,13,Offline,61.0,1,Taylor.James12@zoho.com,
1,1,121,2016,5,14,Groups,96.0,1,Randall.H@outlook.com,
1,1,32,2016,5,21,Online,117.9,1,Saunders_Christopher@hotmail.com,
0,1,56,2016,6,8,Offline,120.0,1,Rebecca_Brown@comcast.net,
0,2,12,2016,6,8,Online,121.0,1,Crosby.Monica67@protonmail.com,
0,1,57,2016,6,10,Offline,86.0,1,Teresa_L@zoho.com,
2,4,69,2016,6,12,Offline,120.0,1,Simmons.Wayne@protonmail.com,
0,3,71,2016,6,14,Offline,120.0,1,Katelyn_Gonzalez@aol.com,
0,2,350,2016,6,17,Groups,130.0,1,BHolt@mail.com,
2,2,71,2016,6,17,Offline,105.4,1,Christopher_Walton@yandex.com,
1,1,156,2016,6,18,Groups,96.0,1,VanessaSalazar13@protonmail.com,
1,2,193,2016,6,20,Offline,120.0,1,Larry_Washington@yahoo.com,
1,2,193,2016,6,20,Offline,120.0,1,Debra.H@xfinity.com,
2,4,70,2016,7,3,Online,150.3,1,Bradley_Washington@mail.com,
0,1,365,2016,7,7,Groups,59.0,1,Paula.N@comcast.net,
1,1,216,2016,7,18,Online,86.63,1,David_Wolfe@mail.com,
0,3,101,2016,7,21,Online,142.3,1,Paul.M@outlook.com,
0,4,180,2016,8,2,Online,89.25,1,Deborah.Miller@yahoo.com,
0,2,35,2016,8,10,Online,125.1,1,DFranklin96@protonmail.com,
0,2,398,2016,8,11,Groups,62.0,1,Johnathan_Acosta@aol.com,
0,3,143,2016,8,18,Online,140.7,1,Travis.Roberts@comcast.net,
0,4,195,2016,8,24,Online,89.25,1,John_H22@comcast.net,
0,3,44,2016,8,30,Online,99.0,1,Banks_Michael58@xfinity.com,
0,2,419,2016,9,1,Groups,62.0,1,Angel_Jr.@att.com,
1,2,120,2016,9,2,Groups,115.0,1,JohnGray64@outlook.com,
2,1,46,2016,9,3,Online,181.8,1,Trevor_Lewis67@zoho.com,
0,2,266,2016,9,9,Groups,105.0,1,Kenneth.Crawford@comcast.net,
0,2,29,2016,9,9,Online,132.05,1,Nguyen.Jamie@yahoo.com,
0,2,6,2016,9,15,Online,159.0,1,Mark.R58@zoho.com,
1,2,280,2016,9,19,Offline,110.0,1,AOsborne@outlook.com,
1,2,280,2016,9,19,Offline,110.0,1,Thomas.Nicholas@xfinity.com,
0,3,260,2016,9,22,Online,113.4,1,Collins.Jessica@aol.com,
0,2,271,2016,9,23,Direct,125.4,0,Ashlee.Wilson@yahoo.com,
1,2,418,2016,9,26,Offline,107.0,0,Diaz.Carl@yahoo.com,
0,4,259,2016,10,5,Offline,89.0,1,Perkins.Matthew30@yahoo.com,
1,2,338,2016,10,7,Offline,80.0,1,Leach_Jeffrey@aol.com,
2,1,145,2016,10,8,Online,108.0,1,JCox@yandex.com,
0,1,109,2016,10,11,Online,108.0,1,Amber.English@zoho.com,
0,3,37,2016,10,13,Offline,95.0,1,Edwin.Murray@att.com,
2,1,93,2016,10,15,Offline,115.0,1,Anthony.G@protonmail.com,
2,1,93,2016,10,15,Offline,115.0,1,Samuel_B@gmail.com,
2,0,283,2016,10,16,Groups,96.0,1,Michael.Mccarty53@verizon.com,
2,0,283,2016,10,16,Groups,96.0,1,MichelleVillarreal74@yandex.com,
0,2,279,2016,10,21,Groups,65.0,1,Beverly_S@verizon.com,
1,2,304,2016,10,21,Online,74.15,0,Perkins.Glenn@outlook.com,
1,2,249,2016,10,28,Online,96.3,1,Tonya_G@gmail.com,
2,2,226,2016,10,29,Offline,70.0,1,SMonroe@zoho.com,
1,2,305,2016,11,4,Offline,89.0,1,ErinCox32@outlook.com,
2,3,38,2016,11,6,Online,157.14,1,Robert.Pineda@mail.com,
1,2,277,2016,11,7,Groups,100.0,1,Christopher_D@mail.com,
2,0,95,2016,11,20,Online,90.0,1,Benjamin.Johnson21@yahoo.com,
0,3,42,2016,11,29,Groups,90.0,1,Anna_N56@att.com,
0,2,9,2016,11,30,Groups,12.0,1,Benjamin.Munoz88@mail.com,
1,3,290,2016,12,1,Online,73.95,1,Ronald.C@verizon.com,
5,11,31,2016,12,3,Online,66.29,1,Kimberly_Fowler22@att.com,
0,3,338,2016,12,15,Online,87.3,1,Alexandra_S63@yandex.com,
4,9,37,2016,12,15,Online,92.31,1,Andrew.Smith60@comcast.net,
0,2,7,2016,12,16,Direct,78.0,1,Joseph.Blackwell58@att.com,
1,2,46,2016,12,16,Online,79.2,1,Alvarez_Stanley@comcast.net,
1,3,99,2016,12,26,Online,127.71,1,Leonard_Gomez@hotmail.com,
3,6,314,2016,12,26,Online,68.66,1,Allen_Calvin66@verizon.com,
3,6,314,2016,12,26,Online,68.66,1,Jeffrey.Vega@mail.com,
0,4,199,2016,12,28,Online,102.85,1,Mandy.B@mail.com,
2,4,16,2016,12,28,Groups,76.67,1,Thomas_B25@hotmail.com,
0,2,265,2015,7,9,Groups,62.8,1,DWhitaker12@att.com,
0,2,321,2015,9,3,Groups,62.0,1,Lawrence_Allen@yandex.com,
1,1,325,2015,9,7,Groups,62.0,1,BrianWagner60@aol.com,
0,2,0,2016,6,28,Complementary,0.0,0,Natalie.B@yandex.com,
1,2,219,2015,9,4,Offline,80.0,1,Jennifer_J@att.com,
0,2,313,2015,8,26,Groups,62.0,1,JMullins@protonmail.com,
0,2,341,2015,9,23,Groups,60.0,1,Smith.Logan@gmail.com,
0,2,301,2015,8,14,Offline,101.5,1,KCastro@aol.com,
0,2,364,2015,10,16,Offline,101.5,1,RobinCooley@gmail.com,
0,2,364,2015,10,16,Offline,101.5,1,David_O@gmail.com,
0,2,364,2015,10,16,Offline,101.5,1,Nancy_Keller@hotmail.com,
0,2,14,2015,7,1,Online,98.0,0,LHines@verizon.com,
1,3,104,2015,7,6,Online,73.8,0,Audrey.Garcia66@verizon.com,
2,5,116,2015,7,12,Offline,119.25,0,Gregory_Green32@comcast.net,
0,1,0,2015,8,14,Direct,203.0,0,EmilyCollins95@hotmail.com,
0,0,10,2015,8,20,Online,0.0,0,James.A75@comcast.net,
2,4,51,2015,8,21,Online,183.0,0,RyanBuchanan@mail.com,
2,5,340,2015,9,12,Offline,0.0,1,Shane_Carroll@att.com,
1,1,2,2015,10,12,Online,56.0,0,Johnson_Mary@yahoo.com,
2,5,165,2015,10,23,Online,56.0,1,PMassey70@att.com,
0,1,148,2015,10,24,Groups,47.0,1,Gary.Barker@verizon.com,
0,1,7,2015,10,29,Corporate,48.0,1,Cody_Williams95@yandex.com,
0,2,13,2015,10,30,Online,76.0,0,AlyssaEdwards@gmail.com,
1,2,45,2015,10,30,Offline,54.0,0,JMoon@verizon.com,
2,5,37,2015,11,8,Corporate,36.0,0,Scott_A85@hotmail.com,
0,1,24,2015,11,21,Corporate,44.0,0,BonnieMcclain62@outlook.com,
2,1,44,2015,12,5,Groups,70.0,1,AmandaSchmidt15@att.com,
0,2,111,2016,2,12,Groups,70.0,1,Seth_Goodman@protonmail.com,
2,1,45,2016,3,19,Offline,65.65,1,SHuffman@comcast.net,
1,3,106,2016,3,24,Groups,84.0,1,Jacob_E82@verizon.com,
1,3,106,2016,3,24,Groups,84.0,1,Brooke.W30@yandex.com,
1,3,106,2016,3,24,Groups,84.0,1,ChristianRomero@comcast.net,
2,5,222,2016,4,2,Online,42.19,0,AdamCampbell@verizon.com,
0,4,186,2016,4,5,Online,52.2,0,LGriffin@protonmail.com,
2,2,147,2016,4,29,Online,65.7,1,David.C@verizon.com,
2,2,108,2016,4,29,Groups,84.0,1,Debra.Mckee@protonmail.com,
2,5,101,2016,4,29,Groups,60.0,1,Randall_M@comcast.net,
1,1,197,2016,4,30,Groups,85.0,1,David_Gardner@xfinity.com,
2,5,235,2016,5,9,Online,65.7,0,EThompson37@gmail.com,
3,7,265,2016,5,16,Offline,46.75,0,CourtneyWhite51@mail.com,
0,1,7,2016,5,27,Groups,58.0,1,Lisa_Martinez40@yandex.com,
2,5,136,2016,5,30,Online,73.71,1,Reeves.Edwin@protonmail.com,
2,4,15,2016,6,9,Online,141.0,1,Kenneth_Williams80@att.com,
1,0,11,2016,6,20,Direct,100.0,1,CarlaGonzalez@xfinity.com,
2,2,191,2016,7,24,Offline,26.1,1,BRussell@protonmail.com,
2,5,192,2016,7,30,Online,205.0,1,Zachary.C@yandex.com,
0,3,28,2016,8,16,Online,219.0,1,William.J@comcast.net,
2,2,73,2016,8,26,Online,211.0,1,Melissa.N@yandex.com,
2,5,219,2016,8,27,Offline,91.55,1,GregoryPratt@gmail.com,
2,1,88,2016,9,11,Online,148.4,1,Jones_Molly@mail.com,
0,4,397,2016,9,21,Offline,72.5,0,Amy_S@zoho.com,
0,2,2,2016,10,12,Corporate,39.0,1,Smith.Spencer@hotmail.com,
2,5,198,2016,10,15,Online,68.0,1,Linda_Soto@xfinity.com,
0,1,7,2016,10,26,Corporate,63.0,0,TheresaMurphy55@verizon.com,
0,3,31,2016,10,27,Online,75.0,1,Laurie_Woods@comcast.net,
1,0,17,2016,10,30,Groups,63.0,1,George_L33@comcast.net,
3,7,136,2016,11,14,Online,37.8,1,RichardLewis@gmail.com,
2,5,90,2016,12,23,Online,82.0,1,Melissa_M@outlook.com,
0,2,8,2016,9,27,Corporate,65.0,0,JEnglish@yandex.com,
0,1,0,2015,11,12,Corporate,25.0,0,BrandonErickson@gmail.com,
0,2,3,2016,1,26,Corporate,27.0,0,Amber_Rios@att.com,
0,1,1,2016,12,22,Corporate,30.0,0,Barbara_Patel98@mail.com,
1,3,265,2015,9,24,Groups,89.2,1,Cathy.D@hotmail.com,
1,3,6,2015,11,9,Corporate,25.0,0,Laura.H@yandex.com,
2,5,244,2015,9,2,Groups,8.0,1,PhD_Ethan26@gmail.com,
2,5,96,2015,7,18,Offline,96.3,0,Gary_P@yahoo.com,
2,3,40,2015,7,25,Online,134.0,0,JenniferSingh@zoho.com,
0,2,32,2015,7,31,Online,120.6,0,RebeccaMacias@protonmail.com,
2,8,174,2015,8,4,Direct,207.85,0,Powell.Jorge@protonmail.com,
0,3,58,2015,8,12,Online,242.67,0,WendyMiller13@mail.com,
3,5,68,2015,8,10,Offline,133.0,0,Terry.L@hotmail.com,
3,6,83,2015,8,17,Direct,150.6,0,Dominic.S@yandex.com,
0,4,288,2015,9,2,Online,110.7,1,Seth_Nguyen@yandex.com,
1,2,25,2015,9,11,Online,135.67,0,Morrison.Robert@yahoo.com,
1,2,11,2016,1,18,Corporate,38.0,0,IWatts@aol.com,
2,5,203,2015,9,11,Offline,62.48,0,Johnson.Kenneth@comcast.net,
1,4,88,2015,9,16,Online,93.17,0,Mr._I52@xfinity.com,
2,5,58,2015,9,25,Offline,80.0,0,Krystal_Greene@att.com,
0,1,7,2015,10,2,Direct,127.0,1,Justin.Jones@yandex.com,
1,5,1,2015,10,5,Online,74.82,0,Aaron_Mora@yahoo.com,
1,0,0,2015,12,28,Corporate,35.0,0,Murray.Beth@aol.com,
1,2,289,2015,11,20,Groups,69.0,1,DylanII@comcast.net,
3,10,24,2015,11,3,Corporate,40.0,0,Sara_C58@att.com,
1,0,0,2015,11,23,Corporate,42.0,0,White_Pamela@att.com,
2,5,273,2016,8,24,Offline,94.63,1,MaryWilson@verizon.com,
0,2,1,2015,12,1,Offline,25.0,0,Harris_Caitlyn@gmail.com,
2,1,7,2015,12,5,Online,97.02,0,Waters_Bryan27@mail.com,
1,2,92,2016,2,26,Groups,79.0,1,Oliver_Michael39@aol.com,
0,1,23,2015,12,11,Online,48.0,0,Beth.G@zoho.com,
0,2,0,2015,12,11,Direct,46.0,0,Olivia.P@aol.com,
1,0,4,2015,12,27,Offline,25.0,0,MarieSanders@comcast.net,
2,5,146,2015,12,22,Online,38.11,0,Hudson.David@aol.com,
1,1,1,2016,1,2,Online,48.0,0,Jennifer_B@protonmail.com,
0,1,0,2016,3,10,Direct,30.0,0,Roger_O@mail.com,
0,1,1,2016,3,3,Online,48.0,0,Deborah.Kaufman47@gmail.com,
0,2,2,2016,2,5,Online,48.0,0,TRogers@mail.com,
0,1,0,2016,10,19,Online,66.0,0,Guerrero.Kendra@gmail.com,
0,2,6,2016,2,26,Direct,85.0,0,Briggs.Nichole92@gmail.com,
2,5,29,2016,2,27,Offline,26.1,0,Matthew.Henderson@verizon.com,
