hotel,booking_status,lead_time,arrival_year,arrival_month,arrival_date_week_number,arrival_day,stays_in_weekend_nights,stays_in_week_nights,market_segment_type,country,avg_price_per_room,email
Resort Hotel,1,55,2016,8,35,21,2,2,Online,ITA,274.0,RichardWatson@aol.com
Resort Hotel,1,77,2016,8,35,22,1,5,Online,ESP,241.0,AJones@gmail.com
Resort Hotel,1,210,2016,8,35,22,3,8,Online,PRT,192.73,Andrew_Banks@zoho.com
Resort Hotel,0,43,2016,8,35,24,0,3,Direct,PRT,239.1,Frank.Bishop@att.com
Resort Hotel,1,206,2016,8,35,27,2,6,Offline,PRT,99.63,Diana.A@aol.com
Resort Hotel,1,218,2016,9,36,1,2,5,Online,PRT,100.0,Rice_Scott71@xfinity.com
Resort Hotel,0,330,2016,9,37,4,2,4,Online,RUS,95.16,OSmith@hotmail.com
Resort Hotel,1,245,2016,9,38,12,5,10,Online,PRT,101.4,StephanieLopez26@xfinity.com
Resort Hotel,0,397,2016,9,39,21,0,4,Offline,CN,70.5,Holly.Wells40@aol.com
Resort Hotel,1,16,2016,10,42,9,2,0,Groups,PRT,55.0,Christopher_Case@att.com
Resort Hotel,1,184,2016,10,42,9,2,3,Online,IRL,126.4,MRhodes@verizon.com
Resort Hotel,1,188,2016,10,44,26,2,6,Offline,PRT,37.2,Evans_Joseph@yandex.com
Resort Hotel,1,181,2016,10,44,27,2,5,Online,IRL,55.25,Kevin_A23@mail.com
Resort Hotel,1,96,2016,10,44,27,2,5,Online,IRL,66.02,Amanda.M@comcast.net
Resort Hotel,1,1,2016,10,44,29,0,1,Online,PRT,71.0,Debra_Li@yandex.com
Resort Hotel,1,86,2016,11,46,9,2,4,Online,DEU,37.8,Jeanette_Harrison@yandex.com
Resort Hotel,1,50,2016,11,47,15,0,4,Direct,GBR,41.18,Martin_F@verizon.com
Resort Hotel,0,1,2016,12,50,6,0,1,Offline,PRT,34.0,MGonzales@protonmail.com
Resort Hotel,1,16,2016,12,50,7,0,4,Offline,PRT,96.0,RebeccaGarcia@mail.com
Resort Hotel,1,57,2016,12,52,23,2,3,Online,CHE,56.0,BrettLee90@hotmail.com
Resort Hotel,0,3,2016,9,40,29,0,1,Online,PRT,50.0,Jacqueline.W49@verizon.com
Resort Hotel,0,0,2016,3,13,22,0,1,Online,PRT,53.0,Austin.Scott@yahoo.com
Resort Hotel,1,244,2015,9,36,2,2,5,Groups,IRL,8.0,BJohnson@outlook.com
Resort Hotel,1,267,2015,9,39,26,2,5,Offline,PRT,54.99,RogerWatkins@verizon.com
Resort Hotel,0,72,2015,7,31,29,0,2,Online,ISR,134.0,Johnson_David53@comcast.net
Resort Hotel,0,0,2015,8,32,6,0,1,Direct,PRT,191.0,ThomasBaker36@gmail.com
Resort Hotel,0,157,2015,8,31,1,2,5,Online,PRT,134.0,Ramos_James89@aol.com
Resort Hotel,0,65,2015,8,33,9,2,5,Offline,PRT,107.0,Alexander.Lisa@mail.com
Resort Hotel,0,38,2015,8,33,13,0,3,Online,ESP,171.9,KatelynOwens34@zoho.com
Resort Hotel,0,101,2015,8,34,22,2,6,Online,PRT,211.0,StephanieFreeman@verizon.com
Resort Hotel,1,247,2015,10,41,9,1,2,Groups,ESP,81.0,CBenton@protonmail.com
Resort Hotel,0,210,2015,8,35,26,2,7,Offline,IRL,87.75,EmilyBush@hotmail.com
Resort Hotel,0,158,2015,9,37,8,0,1,Offline,DEU,68.5,DJohnson@verizon.com
Resort Hotel,0,178,2015,9,37,12,0,1,Offline,SWE,61.65,JDeleon@gmail.com
Resort Hotel,0,301,2015,9,37,12,4,6,Offline,GBR,98.6,Michael_L94@xfinity.com
Resort Hotel,0,46,2015,9,40,30,2,6,Direct,IRL,43.78,Carpenter.Thomas64@zoho.com
Resort Hotel,0,47,2015,10,43,19,1,4,Groups,ESP,76.8,Brown.Richard@gmail.com
Resort Hotel,0,115,2015,10,43,22,2,5,Offline,GBR,73.43,Scott.Vargas@aol.com
Resort Hotel,0,5,2015,10,44,27,0,3,Offline,PRT,31.2,French_Natasha@zoho.com
Resort Hotel,0,0,2015,11,47,17,0,1,Corporate,PRT,35.0,Courtney.T@protonmail.com
Resort Hotel,0,0,2015,12,49,3,0,1,Direct,PRT,48.0,Rhonda_Parsons82@mail.com
Resort Hotel,0,3,2015,12,49,4,1,2,Direct,ESP,45.6,Alicia.Davis@att.com
Resort Hotel,0,11,2015,12,53,29,0,3,Complementary,PRT,2.0,David.French@yahoo.com
Resort Hotel,0,112,2015,12,53,30,0,3,Groups,PRT,245.33,Murphy.Elizabeth57@outlook.com
Resort Hotel,0,2,2016,12,51,16,0,1,Offline,PRT,34.0,Daniel_Moran@comcast.net
Resort Hotel,0,5,2016,1,5,26,0,1,Corporate,PRT,25.0,Travis_H@zoho.com
Resort Hotel,0,10,2016,1,5,29,0,2,Online,ESP,74.0,THunt@mail.com
Resort Hotel,0,0,2016,2,6,2,0,1,Direct,PRT,39.0,Mr.Robinson24@hotmail.com
Resort Hotel,0,0,2016,2,6,3,0,1,Corporate,PRT,39.0,TaylorHubbard@gmail.com
Resort Hotel,0,7,2016,2,6,4,0,1,Online,PRT,39.0,ALucero@hotmail.com
Resort Hotel,0,22,2016,2,6,6,1,1,Direct,PRT,35.0,Williams_Courtney@zoho.com
Resort Hotel,0,4,2016,2,8,16,0,1,Offline,PRT,25.0,Deborah_H73@hotmail.com
Resort Hotel,0,28,2016,2,8,15,1,2,Online,ESP,48.0,Gregory.K@zoho.com
Resort Hotel,0,24,2016,2,9,26,1,2,Online,PRT,48.0,Peters_Maria@gmail.com
Resort Hotel,0,12,2016,4,16,13,0,1,Corporate,PRT,42.0,Steven.S@aol.com
Resort Hotel,0,1,2016,3,12,16,0,1,Corporate,PRT,40.0,PennyLane@att.com
Resort Hotel,0,1,2016,3,13,24,0,0,Direct,PRT,0.0,Craig_N@att.com
Resort Hotel,0,12,2016,3,12,19,2,3,Offline,GBR,41.4,Jill_Nunez@xfinity.com
Resort Hotel,0,14,2016,3,13,25,2,2,Online,PRT,94.5,Weaver_Glenn@outlook.com
Resort Hotel,0,148,2016,3,14,30,1,4,Online,GBR,51.4,Colleen.F94@protonmail.com
Resort Hotel,0,1,2016,4,16,14,0,1,Corporate,PRT,67.5,Jamie.Brown88@comcast.net
Resort Hotel,0,24,2016,4,16,13,0,4,Online,ESP,71.0,Woodard_Nancy@hotmail.com
Resort Hotel,0,0,2016,4,17,20,0,2,Direct,GBR,91.0,Sally.H@hotmail.com
Resort Hotel,0,31,2016,4,16,16,2,5,Offline,GBR,41.4,Whitney.M@comcast.net
Resort Hotel,0,106,2016,4,18,24,1,0,Online,ISR,52.2,JasminJoseph34@zoho.com
Resort Hotel,0,13,2016,4,18,25,2,5,Corporate,NLD,85.0,Marie_M@zoho.com
Resort Hotel,0,32,2016,4,17,19,2,5,Groups,GBR,69.36,Oneill.Brian@yandex.com
Resort Hotel,0,172,2016,4,17,18,3,5,Offline,GBR,48.8,Brittany.P30@protonmail.com
Resort Hotel,0,13,2016,4,18,29,0,2,Direct,PRT,131.0,Gray_Karen31@verizon.com
Resort Hotel,0,9,2016,5,20,12,0,2,Groups,PRT,56.5,Watts.Kimberly@gmail.com
Resort Hotel,0,24,2016,5,22,25,0,4,Direct,GBR,90.0,Mark.S@outlook.com
Resort Hotel,0,137,2016,5,23,30,1,4,Online,FRA,106.38,Christopher_A@yandex.com
Resort Hotel,0,170,2016,6,23,3,2,5,Direct,LTU,93.5,Jesus_Wood28@att.com
Resort Hotel,0,7,2016,6,27,30,0,2,Online,FRA,144.0,VeronicaMD@comcast.net
Resort Hotel,0,12,2016,6,24,5,2,4,Direct,ESP,202.67,Christopher_Carter62@verizon.com
Resort Hotel,0,5,2016,6,25,13,1,1,Direct,PRT,168.6,Mario_C@yahoo.com
Resort Hotel,0,165,2016,6,26,21,0,5,Online,SWE,84.0,CHawkins@hotmail.com
Resort Hotel,0,18,2016,7,27,1,1,2,Online,DEU,129.0,MonicaRodgers@gmail.com
Resort Hotel,0,224,2016,6,27,28,2,6,Online,CHE,80.63,Bradshaw.Pamela@yahoo.com
Resort Hotel,0,17,2016,7,28,4,1,2,Direct,PRT,179.1,Dr..M@zoho.com
Resort Hotel,0,45,2016,7,28,6,0,3,Online,SWE,204.0,Loretta_Foster@outlook.com
Resort Hotel,0,3,2016,7,28,9,1,1,Online,PRT,198.5,Luke_Bennett@comcast.net
Resort Hotel,0,122,2016,7,28,8,2,7,Online,PRT,162.22,Kenneth.Gregory@verizon.com
Resort Hotel,0,234,2016,7,30,22,2,5,Direct,PRT,213.55,Silva_Jeffery37@outlook.com
Resort Hotel,0,43,2016,7,31,29,0,2,Online,ESP,155.2,Andrew.Oconnell94@comcast.net
Resort Hotel,0,156,2016,8,32,6,2,5,Direct,PRT,201.0,Brandon.M@aol.com
Resort Hotel,0,4,2016,8,34,14,2,1,Online,PRT,208.8,Long_Rachel@hotmail.com
Resort Hotel,0,2,2016,8,34,19,0,1,Corporate,CN,160.0,JosephGonzalez@protonmail.com
Resort Hotel,0,216,2016,8,34,14,2,5,Online,GBR,185.37,Brad_Hobbs@zoho.com
Resort Hotel,0,162,2016,8,35,22,2,5,Online,LUX,308.57,Lauren.Snyder70@att.com
Resort Hotel,0,247,2016,9,36,3,2,5,Online,IRL,81.0,PLarson@hotmail.com
Resort Hotel,0,195,2016,9,37,4,4,5,Online,IRL,121.0,Nicole.D@comcast.net
Resort Hotel,0,336,2016,9,38,15,0,3,Groups,GBR,66.0,Mathis_Donna@att.com
Resort Hotel,0,3,2016,9,40,30,0,2,Online,PRT,115.0,Nichols_Jaime@xfinity.com
Resort Hotel,0,69,2016,10,43,18,0,1,Groups,RUS,72.0,Cameron.C@hotmail.com
Resort Hotel,0,5,2016,10,43,17,1,3,Corporate,PRT,67.5,Giles.Ashlee88@yandex.com
Resort Hotel,0,10,2016,11,45,3,1,3,Online,IRL,61.5,DavidBaker37@outlook.com
Resort Hotel,0,1,2016,11,48,21,1,0,Online,PRT,60.0,Jeffery.L87@att.com
Resort Hotel,0,19,2016,11,49,27,2,2,Online,PRT,48.0,Joseph.Leach@aol.com
Resort Hotel,0,28,2016,11,49,28,1,3,Online,RUS,65.0,GSchwartz79@gmail.com
Resort Hotel,0,7,2016,12,51,13,0,1,Direct,PRT,45.0,Mills_Richard@outlook.com
Resort Hotel,0,16,2016,12,51,16,0,1,Offline,USA,42.0,Veronica_Walker@aol.com
Resort Hotel,0,5,2016,12,52,18,1,0,Online,PRT,41.11,Victoria_Montgomery@xfinity.com
Resort Hotel,0,39,2016,12,53,26,1,2,Online,PRT,60.0,Brown.Dana@xfinity.com
Resort Hotel,0,154,2016,12,53,29,3,8,Online,IRL,47.54,Christopher.L@comcast.net
City Hotel,1,68,2015,7,27,4,2,1,Online,PRT,68.0,Weaver.Matthew@yahoo.com
City Hotel,0,132,2015,7,30,23,0,1,Groups,PRT,65.0,AnnFuller19@hotmail.com
City Hotel,1,110,2015,7,30,25,2,1,Offline,ITA,94.5,Dr..P@zoho.com
City Hotel,1,39,2015,8,33,10,1,1,Groups,PRT,62.0,Jacob_S@verizon.com
City Hotel,1,5,2015,8,33,15,2,2,Online,PRT,99.75,Johnson_Matthew@mail.com
City Hotel,0,8,2015,8,33,15,2,3,Direct,NLD,75.0,Jennifer.K@yahoo.com
City Hotel,1,11,2015,8,34,17,1,4,Online,PRT,90.0,Taylor_Jennifer@outlook.com
City Hotel,1,104,2015,8,34,18,0,3,Online,PRT,76.5,KennethWarren@protonmail.com
City Hotel,0,53,2015,8,35,24,1,1,Groups,ESP,84.0,Wright_Katie@yandex.com
City Hotel,0,5,2015,8,35,24,1,3,Online,ESP,90.0,THiggins@protonmail.com
City Hotel,0,4,2015,8,35,25,0,4,Groups,PRT,60.0,Diane.Sanders@aol.com
City Hotel,1,69,2015,9,36,4,2,4,Online,PRT,97.33,Robin_Castro47@xfinity.com
City Hotel,1,65,2015,9,36,5,1,1,Groups,PRT,62.0,LawrenceTucker34@att.com
City Hotel,1,18,2015,9,37,7,1,5,Online,PRT,143.0,Joseph.S58@verizon.com
City Hotel,0,86,2015,9,37,9,0,3,Corporate,FRA,90.0,Gary.H@mail.com
City Hotel,1,44,2015,9,37,10,0,2,Groups,PRT,126.0,Garcia.Jennifer@hotmail.com
City Hotel,0,2,2015,9,37,10,2,6,Online,RUS,163.63,John_Lee@aol.com
City Hotel,0,115,2015,9,37,10,1,3,Online,DEU,89.25,Cox_Mary@gmail.com
City Hotel,0,168,2015,9,37,11,0,2,Groups,PRT,60.0,JohnMaldonado@yandex.com
City Hotel,0,74,2015,9,38,18,0,2,Offline,PRT,109.0,Randall_A@mail.com
City Hotel,0,60,2015,9,39,21,1,1,Offline,PRT,49.5,JSchmidt@comcast.net
City Hotel,0,19,2015,9,39,21,1,3,Online,GBR,90.98,Laura.M@mail.com
City Hotel,1,87,2015,9,39,25,2,3,Groups,PRT,170.0,DanielGibson@zoho.com
City Hotel,1,88,2015,9,39,26,2,2,Groups,PRT,170.0,Juan_Downs@xfinity.com
City Hotel,1,96,2015,9,40,28,1,1,Offline,PRT,138.0,LisaTurner46@xfinity.com
City Hotel,0,83,2015,9,40,30,0,1,Offline,PRT,112.2,GBrown@att.com
City Hotel,0,164,2015,10,40,2,0,2,Offline,PRT,100.0,Stewart_Bryan@zoho.com
City Hotel,0,66,2015,10,41,9,1,2,Offline,PRT,65.0,EWilkins@comcast.net
City Hotel,0,184,2015,10,42,17,2,6,Online,DEU,65.29,Meadows_Shannon@verizon.com
City Hotel,1,50,2015,10,43,24,1,1,Groups,PRT,75.0,Tracy.Molina@yahoo.com
City Hotel,0,61,2015,10,43,24,0,1,Online,PRT,80.75,Spencer.Jerry39@outlook.com
City Hotel,1,99,2015,10,44,30,2,2,Offline,PRT,65.0,KelseyMurphy@verizon.com
City Hotel,0,140,2015,11,47,18,0,3,Groups,PRT,75.0,Dustin.B@hotmail.com
City Hotel,0,135,2015,12,49,5,2,1,Groups,PRT,0.0,Meyer.Robert82@yandex.com
City Hotel,0,5,2015,12,52,20,1,0,Online,PRT,75.0,Rodriguez_Julie@verizon.com
City Hotel,0,146,2015,12,53,29,0,3,Offline,AUT,75.0,Kristen.Murillo@comcast.net
City Hotel,0,19,2016,1,1,1,1,2,Online,PRT,81.82,TheodoreSmith@outlook.com
City Hotel,0,2,2016,1,2,3,2,0,Online,ESP,80.6,Sara_P@yahoo.com
City Hotel,1,43,2016,1,3,14,0,3,Online,ESP,86.75,Christopher_A@yahoo.com
City Hotel,1,11,2016,1,5,26,0,2,Online,PRT,70.07,PhD_Christopher@protonmail.com
City Hotel,1,27,2016,1,5,29,0,2,Online,ESP,77.0,Jennifer_D@outlook.com
City Hotel,1,7,2016,2,6,5,1,2,Online,BRA,79.0,John_Smith36@comcast.net
City Hotel,1,77,2016,2,9,24,0,2,Groups,PRT,64.0,Miller.Cynthia24@hotmail.com
City Hotel,1,37,2016,2,9,27,1,1,Online,ESP,69.3,Jennifer.S32@hotmail.com
City Hotel,1,40,2016,3,10,1,0,3,Online,COL,88.5,MeganPollard@aol.com
City Hotel,1,31,2016,3,10,5,2,3,Online,PAK,119.1,Joshua.Singh@verizon.com
City Hotel,1,62,2016,3,11,9,0,4,Online,GBR,63.75,Sarah.Brown85@xfinity.com
City Hotel,0,83,2016,3,13,20,2,4,Online,FIN,61.41,Chad.Shaw@mail.com
City Hotel,0,78,2016,3,13,20,2,5,Online,DEU,69.2,WalterPowell@comcast.net
City Hotel,1,105,2016,4,15,6,0,1,Offline,PRT,75.0,Valerie.Rose@outlook.com
City Hotel,1,9,2016,4,15,8,0,1,Online,ESP,89.0,Joyce_Malone75@mail.com
City Hotel,1,11,2016,4,15,8,0,2,Direct,PRT,173.0,Farrell_Jacob@gmail.com
City Hotel,1,26,2016,4,16,15,0,2,Online,FRA,115.0,Lawrence_Guzman58@xfinity.com
City Hotel,0,270,2016,4,17,20,0,4,Offline,PRT,80.0,Lisa_D@yahoo.com
City Hotel,0,265,2016,4,17,20,0,4,Groups,AUT,99.0,Erin_S@mail.com
City Hotel,1,58,2016,4,17,22,0,2,Online,CZE,118.8,SAllison@mail.com
City Hotel,1,56,2016,4,17,22,1,2,Online,FRA,118.8,Timothy_F63@att.com
City Hotel,1,169,2016,4,17,22,2,2,Offline,PRT,106.0,Thomas.Christina@yahoo.com
City Hotel,1,309,2016,5,20,12,0,2,Groups,PRT,62.0,MDuarte@mail.com
City Hotel,1,276,2016,5,20,13,2,3,Offline,PRT,61.0,Taylor.James12@zoho.com
City Hotel,1,121,2016,5,20,14,1,1,Groups,PRT,96.0,Randall.H@outlook.com
City Hotel,1,32,2016,5,21,21,1,1,Online,ESP,117.9,Saunders_Christopher@hotmail.com
City Hotel,1,56,2016,6,24,8,0,1,Offline,PRT,120.0,Rebecca_Brown@comcast.net
City Hotel,1,12,2016,6,24,8,0,2,Online,NLD,121.0,Crosby.Monica67@protonmail.com
City Hotel,1,57,2016,6,24,10,0,1,Offline,PRT,86.0,Teresa_L@zoho.com
City Hotel,1,69,2016,6,25,12,2,4,Offline,PRT,120.0,Simmons.Wayne@protonmail.com
City Hotel,1,71,2016,6,25,14,0,3,Offline,PRT,120.0,Katelyn_Gonzalez@aol.com
City Hotel,1,350,2016,6,25,17,0,2,Groups,PRT,130.0,BHolt@mail.com
City Hotel,1,71,2016,6,25,17,2,2,Offline,PRT,105.4,Christopher_Walton@yandex.com
City Hotel,1,156,2016,6,25,18,1,1,Groups,PRT,96.0,VanessaSalazar13@protonmail.com
City Hotel,1,193,2016,6,26,20,1,2,Offline,PRT,120.0,Larry_Washington@yahoo.com
City Hotel,1,193,2016,6,26,20,1,2,Offline,PRT,120.0,Debra.H@xfinity.com
City Hotel,1,70,2016,7,28,3,2,4,Online,CN,150.3,Bradley_Washington@mail.com
City Hotel,1,365,2016,7,28,7,0,1,Groups,PRT,59.0,Paula.N@comcast.net
City Hotel,1,216,2016,7,30,18,1,1,Online,AUT,86.63,David_Wolfe@mail.com
City Hotel,1,101,2016,7,30,21,0,3,Online,PRT,142.3,Paul.M@outlook.com
City Hotel,1,180,2016,8,32,2,0,4,Online,PRT,89.25,Deborah.Miller@yahoo.com
City Hotel,1,35,2016,8,33,10,0,2,Online,TUR,125.1,DFranklin96@protonmail.com
City Hotel,1,398,2016,8,33,11,0,2,Groups,PRT,62.0,Johnathan_Acosta@aol.com
City Hotel,1,143,2016,8,34,18,0,3,Online,ESP,140.7,Travis.Roberts@comcast.net
City Hotel,1,195,2016,8,35,24,0,4,Online,IRL,89.25,John_H22@comcast.net
City Hotel,1,44,2016,8,36,30,0,3,Online,GBR,99.0,Banks_Michael58@xfinity.com
City Hotel,1,419,2016,9,36,1,0,2,Groups,PRT,62.0,Angel_Jr.@att.com
City Hotel,1,120,2016,9,36,2,1,2,Groups,PRT,115.0,JohnGray64@outlook.com
City Hotel,1,46,2016,9,36,3,2,1,Online,ESP,181.8,Trevor_Lewis67@zoho.com
City Hotel,1,266,2016,9,37,9,0,2,Groups,PRT,105.0,Kenneth.Crawford@comcast.net
City Hotel,1,29,2016,9,37,9,0,2,Online,GBR,132.05,Nguyen.Jamie@yahoo.com
City Hotel,1,6,2016,9,38,15,0,2,Online,GBR,159.0,Mark.R58@zoho.com
City Hotel,1,280,2016,9,39,19,1,2,Offline,PRT,110.0,AOsborne@outlook.com
City Hotel,1,280,2016,9,39,19,1,2,Offline,PRT,110.0,Thomas.Nicholas@xfinity.com
City Hotel,1,260,2016,9,39,22,0,3,Online,GBR,113.4,Collins.Jessica@aol.com
City Hotel,0,271,2016,9,39,23,0,2,Direct,GBR,125.4,Ashlee.Wilson@yahoo.com
City Hotel,0,418,2016,9,40,26,1,2,Offline,PRT,107.0,Diaz.Carl@yahoo.com
City Hotel,1,259,2016,10,41,5,0,4,Offline,PRT,89.0,Perkins.Matthew30@yahoo.com
City Hotel,1,338,2016,10,41,7,1,2,Offline,PRT,80.0,Leach_Jeffrey@aol.com
City Hotel,1,145,2016,10,41,8,2,1,Online,GBR,108.0,JCox@yandex.com
City Hotel,1,109,2016,10,42,11,0,1,Online,FRA,108.0,Amber.English@zoho.com
City Hotel,1,37,2016,10,42,13,0,3,Offline,PRT,95.0,Edwin.Murray@att.com
City Hotel,1,93,2016,10,42,15,2,1,Offline,PRT,115.0,Anthony.G@protonmail.com
City Hotel,1,93,2016,10,42,15,2,1,Offline,PRT,115.0,Samuel_B@gmail.com
City Hotel,1,283,2016,10,43,16,2,0,Groups,PRT,96.0,Michael.Mccarty53@verizon.com
City Hotel,1,283,2016,10,43,16,2,0,Groups,PRT,96.0,MichelleVillarreal74@yandex.com
City Hotel,1,279,2016,10,43,21,0,2,Groups,PRT,65.0,Beverly_S@verizon.com
City Hotel,0,304,2016,10,43,21,1,2,Online,FRA,74.15,Perkins.Glenn@outlook.com
City Hotel,1,249,2016,10,44,28,1,2,Online,FRA,96.3,Tonya_G@gmail.com
City Hotel,1,226,2016,10,44,29,2,2,Offline,PRT,70.0,SMonroe@zoho.com
City Hotel,1,305,2016,11,45,4,1,2,Offline,PRT,89.0,ErinCox32@outlook.com
City Hotel,1,38,2016,11,46,6,2,3,Online,PRT,157.14,Robert.Pineda@mail.com
City Hotel,1,277,2016,11,46,7,1,2,Groups,PRT,100.0,Christopher_D@mail.com
City Hotel,1,95,2016,11,48,20,2,0,Online,HUN,90.0,Benjamin.Johnson21@yahoo.com
City Hotel,1,42,2016,11,49,29,0,3,Groups,PRT,90.0,Anna_N56@att.com
City Hotel,1,9,2016,11,49,30,0,2,Groups,PRT,12.0,Benjamin.Munoz88@mail.com
City Hotel,1,290,2016,12,49,1,1,3,Online,SVK,73.95,Ronald.C@verizon.com
City Hotel,1,31,2016,12,49,3,5,11,Online,PRT,66.29,Kimberly_Fowler22@att.com
City Hotel,1,338,2016,12,51,15,0,3,Online,DNK,87.3,Alexandra_S63@yandex.com
City Hotel,1,37,2016,12,51,15,4,9,Online,PRT,92.31,Andrew.Smith60@comcast.net
City Hotel,1,7,2016,12,51,16,0,2,Direct,ESP,78.0,Joseph.Blackwell58@att.com
City Hotel,1,46,2016,12,51,16,1,2,Online,ESP,79.2,Alvarez_Stanley@comcast.net
City Hotel,1,99,2016,12,53,26,1,3,Online,ESP,127.71,Leonard_Gomez@hotmail.com
City Hotel,1,314,2016,12,53,26,3,6,Online,BRA,68.66,Allen_Calvin66@verizon.com
City Hotel,1,314,2016,12,53,26,3,6,Online,BRA,68.66,Jeffrey.Vega@mail.com
City Hotel,1,199,2016,12,53,28,0,4,Online,FRA,102.85,Mandy.B@mail.com
City Hotel,1,16,2016,12,53,28,2,4,Groups,PRT,76.67,Thomas_B25@hotmail.com
City Hotel,1,265,2015,7,28,9,0,2,Groups,PRT,62.8,DWhitaker12@att.com
City Hotel,1,321,2015,9,36,3,0,2,Groups,PRT,62.0,Lawrence_Allen@yandex.com
City Hotel,1,325,2015,9,37,7,1,1,Groups,PRT,62.0,BrianWagner60@aol.com
City Hotel,0,0,2016,6,27,28,0,2,Complementary,PRT,0.0,Natalie.B@yandex.com
City Hotel,1,219,2015,9,36,4,1,2,Offline,PRT,80.0,Jennifer_J@att.com
City Hotel,1,313,2015,8,35,26,0,2,Groups,PRT,62.0,JMullins@protonmail.com
City Hotel,1,341,2015,9,39,23,0,2,Groups,PRT,60.0,Smith.Logan@gmail.com
City Hotel,1,301,2015,8,33,14,0,2,Offline,PRT,101.5,KCastro@aol.com
City Hotel,1,364,2015,10,42,16,0,2,Offline,PRT,101.5,RobinCooley@gmail.com
City Hotel,1,364,2015,10,42,16,0,2,Offline,PRT,101.5,David_O@gmail.com
